IP Prefix	Description
3.5.140.0/22	ap-northeast-2-ec2-ap-northeast-2-2401
35.180.0.0/16	eu-west-3-ec2-eu-west-3-2402
52.93.178.234/32	us-west-1-amazon-us-west-1-3
52.94.76.0/22	us-west-2-amazon-us-west-2-4
52.95.36.0/22	ap-southeast-2-amazon-ap-southeast-2-5
120.52.22.96/27	GLOBAL-cloudfront-GLOBAL-3011
150.222.81.0/24	eu-west-1-amazon-eu-west-1-7
13.34.24.160/27	us-west-2-amazon-us-west-2-8
15.230.39.60/31	us-east-2-amazon-us-east-2-9
52.219.168.0/24	eu-central-1-s3-eu-central-1-2237
150.222.78.0/24	ap-southeast-1-amazon-ap-southeast-1-11
15.230.39.208/31	us-east-2-amazon-us-east-2-12
52.93.17.0/24	eu-west-1-amazon-eu-west-1-13
52.93.240.164/31	us-west-2-amazon-us-west-2-14
52.95.150.0/24	eu-west-2-s3-eu-west-2-2238
52.219.60.0/23	ap-northeast-2-s3-ap-northeast-2-2239
150.222.230.102/31	eu-central-1-amazon-eu-central-1-17
3.2.0.0/24	us-east-1-ec2-us-east-1-iah-1-2403
13.248.56.0/22	ap-east-1-amazon-ap-east-1-19
13.248.117.0/24	ap-south-1-globalaccelerator-ap-south-1-3082
15.221.34.0/24	ap-northeast-1-amazon-ap-northeast-1-21
15.230.137.0/24	us-east-1-amazon-us-east-1-22
52.93.126.135/32	eu-central-1-amazon-eu-central-1-23
52.93.178.219/32	us-west-1-amazon-us-west-1-24
52.93.240.186/31	us-west-2-amazon-us-west-2-25
52.94.24.0/23	eu-west-1-dynamodb-eu-west-1-2368
150.222.3.187/32	ap-southeast-1-amazon-ap-southeast-1-27
150.222.199.0/25	us-west-1-amazon-us-west-1-28
15.230.39.44/31	us-east-2-amazon-us-east-2-29
52.4.0.0/14	us-east-1-ec2-us-east-1-2404
52.93.127.27/32	eu-west-1-amazon-eu-west-1-31
52.144.227.192/26	ap-northeast-2-amazon-ap-northeast-2-32
52.144.229.64/26	ap-northeast-1-amazon-ap-northeast-1-33
64.252.81.0/24	sa-east-1-ec2-sa-east-1-2405
50.16.0.0/15	us-east-1-ec2-us-east-1-2406
52.93.127.133/32	ap-south-1-amazon-ap-south-1-36
52.95.208.0/22	us-east-1-amazon-us-east-1-37
52.95.224.0/24	eu-south-1-ec2-eu-south-1-2407
150.222.84.0/24	ap-south-1-amazon-ap-south-1-39
150.222.208.82/31	af-south-1-amazon-af-south-1-40
205.251.249.0/24	GLOBAL-cloudfront-GLOBAL-3012
13.34.32.128/27	us-west-1-amazon-us-west-1-42
15.193.3.0/24	ap-southeast-2-ec2-ap-southeast-2-2408
52.93.153.148/32	eu-west-2-amazon-eu-west-2-44
52.94.244.0/22	us-east-1-amazon-us-east-1-45
52.119.208.0/23	us-gov-west-1-amazon-us-gov-west-1-46
54.240.236.26/32	eu-south-1-amazon-eu-south-1-47
150.222.3.190/32	ap-southeast-1-amazon-ap-southeast-1-48
150.222.228.0/24	sa-east-1-amazon-sa-east-1-49
15.230.39.10/31	us-east-2-amazon-us-east-2-50
15.230.131.2/32	eu-central-1-amazon-eu-central-1-51
52.82.169.16/28	cn-northwest-1-amazon-cn-northwest-1-52
52.93.34.56/32	us-west-1-amazon-us-west-1-53
52.94.198.16/28	sa-east-1-amazon-sa-east-1-54
52.144.225.128/26	ap-northeast-1-amazon-ap-northeast-1-55
64.252.69.0/24	us-east-1-ec2-us-east-1-2409
150.222.122.104/31	eu-central-1-amazon-eu-central-1-57
13.236.0.0/14	ap-southeast-2-ec2-ap-southeast-2-2410
52.46.220.0/22	eu-north-1-amazon-eu-north-1-59
52.93.50.128/32	us-east-1-amazon-us-east-1-60
52.93.50.140/31	us-east-1-amazon-us-east-1-61
52.93.56.0/24	eu-west-2-amazon-eu-west-2-62
52.93.178.152/32	us-west-1-amazon-us-west-1-63
52.95.41.0/24	us-east-1-amazon-us-east-1-64
52.95.100.0/22	us-gov-west-1-amazon-us-gov-west-1-65
52.95.226.0/24	ap-east-1-ec2-ap-east-1-2411
99.78.152.0/22	af-south-1-amazon-af-south-1-67
150.222.135.0/24	ap-east-1-amazon-ap-east-1-68
150.222.202.0/24	eu-west-1-amazon-eu-west-1-69
176.32.125.244/31	us-east-1-amazon-us-east-1-70
